code,role
711808,{"id":255,"name":"711808_awendo_migori"}
708492,{"id":256,"name":"708492_rongai_nakuru"}
701372,{"id":257,"name":"701372_sunawest_migori"}
600748,{"id":258,"name":"600748_matungu_kakamega"}
708506,{"id":259,"name":"708506_nakuruwest_nakuru"}
600215,{"id":260,"name":"600215_ndhiwa_homabay"}
701960,{"id":261,"name":"701960_kamukunji_nairobi"}
711651,{"id":262,"name":"711651_ganze_kilifi"}
712785,{"id":263,"name":"712785_njoro_nakuru"}
702288,{"id":264,"name":"702288_embakasiwest_nairobi"}
700453,{"id":265,"name":"700453_lungalunga_kwale"}
700452,{"id":266,"name":"700452_lungalunga_kwale"}
711456,{"id":267,"name":"711456_gilgil_nakuru"}
601171,{"id":268,"name":"601171_subukia_nakuru"}
702125,{"id":269,"name":"702125_dagorettisouth_nairobi"}
711192,{"id":274,"name":"711192_kipkelionwest_kericho"}
701731,{"id":279,"name":"701731_matungu_kakamega"}
702283,{"id":284,"name":"702283_kibra_nairobi"}
700966,{"id":289,"name":"700966_mumiaseast_kakamega"}
700976,{"id":294,"name":"700976_mumiaseast_kakamega"}
700387,{"id":299,"name":"700387_malava_kakamega"}
701919,{"id":304,"name":"701919_dagorettinorth_nairobi"}
702033,{"id":309,"name":"702033_embakasicentral_nairobi"}
602265,{"id":318,"name":"602265_subukia_nakuru"}
703998,{"id":323,"name":"703998_bureti_kericho"}
701295,{"id":328,"name":"7012952_embakasieast_nairobi"}
602751,{"id":333,"name":"602751_lungalunga_kwale"}
709980,{"id":1367,"name":"709980_njoro_nakuru"}
708812,{"id":1372,"name":"708812_mathare_nairobi"}
700894,{"id":1377,"name":"700894_lurambi_kakamega"}
706983,{"id":1381,"name":"706983_nyeritown_nyeri"}
708694,{"id":1386,"name":"708694_makadara_nairobi"}
710063,{"id":1391,"name":"710063_makadara_nairobi"}
711382,{"id":1396,"name":"711382_chesumei_nandi"}
712664,{"id":1401,"name":"712664_rongai_nakuru"}
711927,{"id":1406,"name":"711927_ugenya_siaya"}
600450,{"id":1411,"name":"600450_subasouth_homabay"}
702006,{"id":1416,"name":"702006_kamukunji_nairobi"}
702259,{"id":1421,"name":"702259_kibra_nairobi"}
602717,{"id":1426,"name":"602717_likuyani_kakamega"}
600225,{"id":1431,"name":"600225_ndhiwa_homabay"}
600712,{"id":1436,"name":"600712_ikolomani_kakamega"}
709439,{"id":1443,"name":"709439_magarini_kilifi"}
705813,{"id":1448,"name":"705813_belgut_kericho"}
602376,{"id":1453,"name":"602376_nakurunorth_nakuru"}
711407,{"id":1458,"name":"711407_kipkelionwest_kericho"}
600035,{"id":2934,"name":"600035_gem_siaya"}
600354,{"id":1467,"name":"600354_rachuonyonorth_homabay"}
708782,{"id":1472,"name":"708782_embakasisouth_nairobi"}
600321,{"id":1477,"name":"600321_rachuonyonorth_homabay"}
710467,{"id":1482,"name":"710467_mathare_nairobi"}
707629,{"id":1487,"name":"707629_nakurunorth_nakuru"}
700855,{"id":1492,"name":"700855_likuyani_kakamega"}
702981,{"id":1497,"name":"702981_rangwe_homabay"}
709614,{"id":1502,"name":"709614_kilifinorth_kilifi"}
700274,{"id":1507,"name":"700274_tetu_nyeri"}
600504,{"id":1512,"name":"600504_ugenya_siaya"}
702002,{"id":1514,"name":"702002_westlands_nairobi"}
600378,{"id":1519,"name":"600378_rachuonyoeast_homabay"}
601692,{"id":1524,"name":"601692_makadara_nairobi"}
